polarity,final_messages
1,U tryna meet tho? I’m down
0,We close
1,Haha send me your addy and we’ll meet tho
0,I’ll give u time doe
0,Bet how much time u need?
0,Bet
1,Meet outside alder in 10?
0,Bet I got u
0,See you soon
1,Gimme your number for ease?
0,Okay cool
1,Hey this is a bit forward but do u have a condom or should I bring one
0,You’ll be happily surprised
0,Hmm
1,Snap?
0,"Noah sent you a special message.
Update the app to view the message."
1,U tryna meet up?
0,L
1,Lmaoooo hi Hailey
0,Tell me your favorite song right now
0,Lmao Hailey how are you tho
0,Madronaaaa
1,U tryna link?
0,Haha hey Milena
1,U tryna link?
0,Haha hey Elizabeth
1,U tryna link?
1,U tryna link?
1,U tryna link?
1,U tryna link?
0,Haha how’s it going
0,Hey McKenna
0,Lmaoo hi annie b
0,It only took 4 months 😂😂
0,Pretty well! Quarantine is a bummer but what can u do lol
0,Hey how’s it going
0,"I’m doing pretty well, as well as u can in quarantine I suppose lol"
0,I just need that David Fragrance to complete the fit 😤
1,How can you be 70 miles away but still live in my head?
0,YES though it’s sad he’s not making vlogs rn :( how are you doing?
1,Sadly lost the stilts but can still give you a piggy back ride. Practically the same
0,I keep waiting to hit that magic number but it hasn’t come yet
0,Hey! It’s been pretty... boring for the most part haha. I’ve been working all week on my resume and job apps for post graduation :( wbu?
0,Anaaaaa what’s good
0,Do anything spontaneous recently?
0,Sorry I haven’t checked Tinder in a minute haha but if I go off of yesterday I’d probably say the end of yesterday. I got some work done I was pushing off. Finally felt productive lol
1,I’m curious what was your favorite part of yesterday?
1,Hmmm guess my favorite drunk food and I’ll guess yours haha
1,Aw thank you ❤️❤️ I love your wings
0,Heylo what’s your go to late night drive song
0,Need to see if ur on aux 👀
0,It’s more of a wish than a reality sadly :(
0,What’s tik tok?
0,Hey how’s it going haha what’s the coolest thing you’ve done in quarantine so far
0,That obvious huh? 😂
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,HAHA good ol Mount Si high school
0,High School was kind of a blur I feel like I didn’t talk to a whole lot of people 😂 that’s sweet tho
0,If I rememberrrr correctly I wanna say it was Health! Haha I could be wrong tho
0,Yeah! Sadly not for a whole lot longer and with Covid not on campus :( but love love love UW I wish I could stay for another 4 years
0,Ugh Covid really fucking up our last time at UW 😕 yep haha I’m set to graduate in March
0,What are you majoring in?
0,Nice!! A friend of mine is entre minor too she loves it
0,I’m marketing and information systems haha trying to balance a more social major with a more technical one. We’ll see what comes of it haha
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,Haha it is a perfect first date tho
1,I see that UW dorm bed lol which dorm did u stay in?
0,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,"Bet, 2 lokos each. Dealbreaker tho, which flavors are u choosing?"
0,🤢🤮 we agree there
0,Peach <<<
0,I’d probably do peach and grape
0,"I did it before with grape and fruit punch, fruit punch was not the move"
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,Are we about to kiss right now 😳
1,As long as we kissed from 6 ft away with our N95s on I see no problem
1,If you kiss at night tho Covid doesn’t know 🤫
1,"Covid has bad eyesight, so as long as you kiss at night you’re safe"
1,"Alright alright 3 things and you guess...

1. Favorite artists are Frank Ocean, SZA, and Rex Orange County
2. Marketing and Information Systems major at UW
3. Just got my ears pierced but it’s not in any of my tinder photos yet"
1,How about a pickup lime
1,Feeling strong 7 vibes today but 3 is my normal
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Daddy? Let’s go
1,There’s no other eay
0,Snapchat: tronvaughn
0,Better add me I guess
1,Let’s swap Spotify playlists and make assumptions about eachother
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Cuz it’s mad wet
0,Hey if it lets me send this
0,Snapchat: tronvaughn
0,Then it works
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Cuz it’s mad wet
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Lemme fuck ur life up
1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
1,Let’s make a movie
1,You can be the port to my land 😝😢
0,🙈🙈🙈🙈🙈
0,"HAHA I love this, very professional"
0,It’s 1 and 2 for me
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,That’s one thing we have in common
1,I have a feeling there are other things we have in common too
0,Favorite artist go
0,I see u I respect that
0,WAP baby
0,"My top 3 are Frank Ocean, SZA, and then Harry Styles"
0,A bit different
0,But a vibe for sure
0,UMI I’m about it
0,Rose what is the coolest thing about yourself
0,Lmaooo cold blooded
0,Idk I’m in the Udistrict and haven’t caught Covid so I’m built different
0,How would u best describe your personality
0,Snapchat: tronvaughn
0,Also here
0,Hey if u don’t have underlying heavy anxiety are you really living?
0,I feel that I’ve gained a good “go with the flow” attitude through college but always looking to improve
0,College ends too soon tho there’s so much to learn and do
0,What hw u need I’ve been just working for too long
0,Math ehhh any English or papers tho I’m about it
0,I got thru Calc
0,Any past that and I’m as useless as can be
0,That work life :;((
1,Perfect if it means more Rose then I’m always down
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Not a pickup line but my dog looks JUST like yours haha
0,My go-to tinder line is “Let’s exchange Spotify playlists and make assumptions about each other”
0,I am up my lady shakireth thou up yourself?
1,Your kids are gonna be cute one day
1,You guessed the next line 😤 the Y is silent
1,Whatever you want your prize to be I can provide
1,Hmm I don’t think I can provide that Alexis you might have to go a bit more reasonable 😂
1,Your kids are gonna be cute one day
1,Your kids are gonna be cute one day
1,Your kids are gonna be cute one day
1,Take me to the bikini barista and call it a date
1,Wanna come over tonight?
0,Deal
0,Ofc I’m the physical embodiment of AKPsi
0,The only Spotify playlist I have is “it really do be like dat”
1,😫😫😫
1,Any music is welcome to the playlist LMAO
0,I played that and Stian was vibin with it and asked Siri what song it was and he felt so betrayed
1,Boy band connoisseur 🥴
0,Oh yup I almost saw them at the Neptune then realized I would be way out of place
0,That’s almost worth going to the show purely to say you did
0,Yet at the same time so sad
0,I’d start a mosh pit
0,The 10 year olds wouldn’t stand a chance
0,There are no laws at a Jacob Sagittarius concert so stomping on kids is perfectly fine
0,A white claw mixed with a monster energy drink really
0,It’s a shame you missed out on all his merch
0,Ik what to shotgun next
0,Isn’t he like 18 now
0,White claw monster is practically a 4 loko
0,Lmao I just looked it up he’s 17 💀
0,He makes me uncomfortable on tik tok
0,Wtf ur shotgunning the loko then
0,He’s perpetually 13
0,Fine ocho loko then
0,He’s gonna look 15 at 45
0,"Yup 2 lokos, one taped to each hand"
0,Edward 40 hands for the 21st century
0,Pshhh I haven’t drank in 4 days
1,😴 Was the last time with Shaosong
0,Sad
0,Lmao “hey Stian tell me the last time Alyssa was drunk drunk”
0,Oh my god that’s death
0,Oh did u end up not going
0,Wait I heard this story lol
1,😂 it be like dat
0,The best cure to a hangover is more alcohol
0,Well choose your flavors for ocho loko we’ll repeat that
1,I have to do it in September lol
0,There’s so many flavors
0,Haha that’s my roommates favorite but I agree it’s kinda ass
0,Hmmm watermelon is a good first one
0,I like grape or peach
0,Purple LOL they only have green apple
0,Ah I’m a regular reader
0,Gotta keep up to date with the flavors ofc
0,This is the career I was destined to have
0,Washed up AKPsi frat bro
0,This ranking is ass
0,"I don’t mind gold, but having black ranked that high is an atrocity"
0,You make a compelling case
0,But the taste is wretched
0,"Grape, watermelon, peach, fruit punch, and green apple are all 14 as well"
0,Peach is 🔥 also u reminded me I was going to plan Soju pong
0,I like the yogurt soju
1,Have I ever had... tiddy milk?
0,Shoulda joined AKPsi sooner smh reach my full alcoholic potential
0,Why am I the VP of IA and not brotherhood is my question
1,Ah then no I have not tasted tiddy milk 😂
0,No promises it’s my legacy
0,"What a strange, strange message"
1,"😂 Most frats have like a sacred pong table, paddle, etc."
0,AKPsi passes down tiddy milk
0,Honestly akpsi wins in that regard tiddy milk for everyone
1,See this is why we’re the professional frat 😤 2 steps ahead
0,When Kyle has one too many monsters and ruins the drywall
0,I’m no Kyle
0,Half our apt has small dents from our locks cuz there’s no door stoppers tho big sad
0,I think the deposit was lost when Stian rode a penny board into the wall LOL
0,How many monsters deep were you
0,Apparently it’s a bit harder to Ollie than we thought
0,That’s pretty intense Kyle levels right there
0,It’s faster to get down the hallway
0,It just gets so tiring 😞
0,Also Shaggy and I are doing ocho loko tmrw I’ll let you know how it goes
0,I’ll keep you updated on the great memories we make LMao
0,What flavors do u suggest
1,If they’re available those are the ones we’ll get 😂 god imma die tmrw
0,I’ll send the screenshot one sec
1,Oh hey there ;)
1,Look who’s tryna slide in
0,Entanglement
0,? I haven’t changed my photo since downloading
0,Lmao i haven’t touched it
0,Lmao i haven’t touched it
0,I hate these gifs
0,Howdy 🤠
0,"Pipe or attention, a question older than the chicken vs the egg"
0,Damn well let me know if you figure it out or need help deciding
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Falling!
1,Also you have the best smile
1,"You’re pretty cute, I’d definitely hold your hand in public"
1,Respectfully from 6 ft away ofc
1,I suppose we’ll have to break a couple rules then to accommodate
0,Hey you dropped this
0,Lmaooo
0,It do be like dat
0,One day... we can hope
0,If you drop yours one day I’ll make sure to let you know
0,It would only be fair
1,But I suppose I can start a real conversation while we’re at it...
0,Top 3 albums of all time?
0,Try me
0,I have mine ready haha
0,Haha okay
0,"Blonde/channel Orange as my 1 (tie), Harry Styles (the album) as 2, and Ctrl by SZA as 3"
0,Okay I see you we matched on one!
0,I like Russ a lot I was listening to him today
0,And “I” by Lil Skies on repeat
0,Def not I didn’t know what to expect when you said I wouldn’t like it 😂
0,Well we matched on Harry lol what’s ur fav song
0,Aw that’s a good one
0,"Mine is falling, meet me in the hallway, sign of the times"
0,Indeed
0,I was talking to my roommates lmao my b
1,What’s the worst and best lines you’ve heard on Tinder
1,❤️
0,Good conversation
1,😂
0,Mmm haven’t heard too many lines but a lot of ppl ask about the stilts in my bio and I don’t even own stilts
0,I’ll pretend to not be scared watching horror movies so I can hold you
0,Same here lol I gotchu
0,Same here lol I gotchu
0,Night 😴
0,I’ll provide the wine bag
0,Damn now I feel like I have to bring more what else should I provide?
0,That shitty portrait is calling my name
0,Hey odd question but did you go to Mount Si? I feel like you look kinda familiar lol
0,I did haha one year younger lol how is Wazzu?
1,Hey you dropped this
1,Hey you dropped this
1,Hey you dropped this
1,Let’s exchange Spotify playlists and make guesses about each other’s personalities
0,What’s your favorite thing about SF?
0,Hey how are you?
1,Let’s swap playlists and make guesses about each other’s personalities
1,Lmao this is mine don’t make fun of the cover picture 😂
1,You’re not wrong 😂 wait lemme send my repeat playlist that could be better
1,Let’s swap playlists and make guesses about each other’s personalities
1,LMAO this is mine don’t make fun of the picture 😂
0,Damn I lost :(
1,Oh I thought we’re having a competition to see who wouldn’t send the first message
1,I couldn’t hold out any longer
0,I made the name so long ago 😂
0,See I figure when you give me a piggy back ride we’ll be roughly 7’ tall
0,"Not as often as I’d like sadly, but it sure would make concerts more fun"
0,"Hmm you’re a hard bargainer, we can switch off"
1,What’s the first concert you will ride my shoulders for?
0,I like your style - favorite song?
0,Those are soooo good Falling is a favorite of mine but also Meet me in the hallway and sign of the times
0,Tbh his first album is top 3 of mine lol I could listen front to back without skips
1,Whattt I’m super jealous I became a fan too late 😞
0,He’s super talented he matches the vibe of my other favorite albums too
0,1. Blonde/Channel Orange (tie) 2. Harry Styles 3. Ctrl by SZA 4. Pony by Rex Orange County
0,Oh nice I’ve heard COIN! I haven’t listened to Charlie Burg but I’ll def listen
0,I got a couple drinks at a restaurant haha it’s nice but def weird with masks I haven’t been to a restaurant in forever
1,Let’s swap playlists and make guesses about each other’s personalities
0,LMAO this is mine don’t make fun of the photo 😂
1,That soft girl playlist is the MOVE haha damn our music tastes align
1,I suppose guessing your personality from your playlist would be the same as guessing mine 😂
1,Lets swap playlists and make assumptions about each other
1,You can borrow my stilts anytime 🤝
1,Or you can just ride on my shoulders if you prefer
1,The tall shelves at Costco stand no chance
1,It’s only fair I get to ride your shoulders sometimes tho
0,The top shelf is the best that’s where the best alc is kept ofc
0,You’ll get a hang of em real quick
0,Vitalis serves one purpose and it serves it well - to get fucked up
0,Pretty good! I worked all day so pretty boring overall lol but hbu?
0,Vitalis did it’s job freshman year now we don’t have to go back 😂 yuck
0,True it kept me busy haha i appreciate that. What kind of dog do u have??
0,Trueeee did you turn 21 before Covid?
0,Awww cute!! I have 2 shelties at home but I’m living in U district rn
0,Ah damn :(( Mine was early February so right before things started getting worse haha. I want it all to end to go to the bars and stuff tho
0,Greek row is I avoid there at all costs 😂 I live a few streets down so we aren’t impacted luckily
1,You’re pretty cute I’d definitely hold your hand in public
1,"you’re pretty cute, I’d hold your hand in public"
0,Hey how are you?
0,I’m good! It’s a friends birthday tonight
0,I say 7’ but it’s more like 7’5
0,Frankly a bit too tall
0,It makes concerts really nice ofc
0,And the tall shelves at Costco have the best items
1,Giraffes are everyone’s favorite animal 😉
1,Wowwwww so I’m not your favorite 😞
0,I meannnn I do love cat
0,Cats
1,As long as this giraffe is your top 😉
0,Haha I’m a night owl
0,That’s why I’m the best giraffe
0,Hey how are you
0,Im chillin I got a few claws and have just been hanging with a couple roommates
0,What are u up to haha
0,Lol that’s chill what show u watching?
0,I fw that 😂 I’ve only watched a few ep but I like Penn
0,Damn I didn’t watch the right episodes then lol
0,Damn it do be like that
0,Is that your favorite show?
1,If you ride my shoulders we can beat 7’ 😂
0,We’ll form some sort of mega human
1,Also we can finally reach the REALLY high shelves at Costco
1,Well we’ll get the top shelf alcohol then 😂
0,Oh ofc ofc or I’ll grab from the top shelf and you get the chase
0,You got beer pong I got flip cup let’s run the tables
1,YES I love these type of profiles haha bonus points for the rainbow numbering
1,I choose 4 👀
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
,The only caveat is you gotta bring your own marbles
,You’re the answer to my E-girl dreams
,Haha fair fair let me know when I can buy bath water tho
,When you become the e girl of my dreams can I become the e boy of your dreams?
,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,Let’s go halves on a baby
1,I didn’t hear a noooo
1,Let’s go halves on a baby
1,Let’s go halves on a baby
0,Dam
1,Let’s go halves on a baby
1,It’s okay we can just practice then
1,What’s your snap?
1,Just added 👀
1,Let’s go halves on a baby
0,Pls
0,What about zero feet
1,Bet gimme ur snap let’s do this
0,Add me bb
1,😍😍😍😍 best match EVER
1,I just did 😍
1,So the marriage is in August?
1,I need to tell my family 🤫
0,Let’s give 12 months
0,It better be a really lit wedding
0,It’s all good all the aunties love me
0,Definitely a chatmer
0,Charmer
0,Let her know I’m excited to meet her
1,Perfect imma have the best wedding dance
0,If u can match ofc
0,Mmm idk Naisha doesn’t even come close to my dance capabilities
0,If u lose poker it’s a deal breaker
0,Alright it looks like you’ll win the wedding is still on
0,I’m hiring a lit DJ
0,Let’s rig one night
1,👀
0,BIG BET ok I’ll text u
1,I’m troublemaker
0,Don’t reveal me
0,I didn’t even do anything I missed my turn
0,I am the troublemaker but missed it
0,Many
0,They all ganged up smh
0,Also how was I doppelgänger I was troublemaker 😂😂😂
0,Damn it do be like dat
0,Marvins room hrs
0,Let’s choose someone to hang up on no matter whT
0,What
0,Who do u wanna choose?
0,Bet
0,Aight it’s her
0,Witch
0,I swapped TAnner with Snehu
0,Wbu
0,Naisha is ranting let’s get her
0,I was fully kill Naisha LMAO
0,HAHA IT WAS ONLY US
0,F in the chat
0,Who should we kill
0,Bet
0,My own little
0,I have a friend with 2 A’s
0,I started as insomniac and ended as insomniac
0,Pretty boring
0,I proved I’m insomnia
0,Kill naisha
0,We were right everytime 😤
0,Big fax
1,❤️
1,Let’s go halves on a baby
0,Nvm
0,Yes
1,Let’s go halves on a baby
1,Hey we can practice first!!
0,🤷‍♀️ it takes time
1,Let’s go halves on a baby
0,A bit wbu
0,Damn it be like dat
1,Let’s go halves on a baby
1,Let’s go halves on a baby
0,UDA
0,USA
0,If I was in Singapore we’d be together rn
1,Just a good feeling 😏
0,You me and a whole lot of soju
0,No lol
0,That’s what I’m drinking tonight
0,I have my roommates with me
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Like let’s practice making a baby
1,Let’s go halves on a baby
1,It’s alright we can just practice then
1,Let’s go halves on a baby
0,No no no
1,Let’s have a baby
0,It’s all good
1,Snap?
0,Dam
1,Let’s go halves on a baby
0,It’s ok
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,Let’s go halves on a baby
0,The David Dobrik one?
0,It’s sadly more of a manifestation than a reality 😞 one day
1,I’ll put you on my shoulders and be your stilts 👀
0,Bet but it’s only fair that I get to use your shoulders sometimes too
0,🤷‍♀️
1,It’ll be perfect for concerts and reaching the REALLY high shelves at Costco
0,Perfect I’ll add you I don’t check too often either haha
1,😍😍😍
0,Took so long 😴
0,The Tinder algorithm just knew to put me near the front ofc ofc
0,Hmmm maybeee
0,I think it was like a week ago haha
0,Alright 3 guesses hmmmm
0,Let’s go with blue for my first guess
0,Oof thought the hair might be a clue
0,I’ll say black as my next guess
0,It was black?
0,Oh yup 🥴🥴
1,Guess I win 😉
0,It’s alright your insta bio will look 🔥🔥
0,Kim K and Kylie Jenner status instantly
0,Aw thank you! I like your hair
0,Ah the black hearts 🖤🖤🖤
0,I’m boring I just use the default heart 😞 I use a lot of emojis lol
0,I use this one a ton: 🥴
0,Hey how’s it going haha yesterday I got busy
0,You have a nice IG
0,It’s been 3 days and tbh I’m still tryna figure out the bio. What does it mean?
0,It’s going well how are you Shelby* (noticed it wasn’t Erin lol)
0,It’s more of a manifestation than a reality unfortunately
0,One day
0,Damn once I perfect it you’ll finally see the 7’ tall Noah
1,I’m no short king but there’s always room for improvement 😉
0,Oh boy you ready?
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Always gotta have a few marbles in your pocket just in case ya know
1,"The best picnic ever ofc. Wine, grapes, and the best charcuterie plate u could ask for"
1,No live music tho sadly the budget didn’t stretch that far
0,Sadly I can only yodel. Hope you don’t mind
0,My yodel is probably meager compared to yours but I’m all for 1 am yodel sessions ofc
0,I gotchu haha
0,Let’s make a movie
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,Hey 😉
1,Let’s go halves on a baby
0,Hey wassup
1,Fwb
1,Best. Match. Ever.
1,You. Me. Lots of flowers. And we embrace each other until sunrise
0,Yeah I’m staying up here haha
0,Are you near?
0,Damn :( big difference
1,Then you share something in common 🤪
0,Oh boy u ready?
